År,Årsmedelvarden
1998.0,6.156986301369863
1999.0,7.496438356164383
2000.0,7.728415300546448
2001.0,6.848493150684931
2002.0,7.359726027397261
2003.0,7.005753424657534
2004.0,6.850273224043716
2005.0,7.205479452054795
2006.0,7.718904109589041
2007.0,7.426027397260274
2008.0,7.7636612021857925
2009.0,6.933972602739726
2010.0,5.257260273972603
2011.0,7.770136986301369
2012.0,6.478688524590163
2013.0,7.070136986301369
2014.0,8.06082191780822
2015.0,7.956164383561644
2016.0,7.408743169398907
2017.0,7.225479452054795
2018.0,8.123287671232877
2019.0,7.817534246575343
2020.0,8.98551912568306
2021.0,7.376986301369863
2022.0,8.048767123287671
2023.0,7.247123287671233
